"Id_Votacao";"Data";"Resultado";"TipoVotacao";"Projeto";"SiglaProjeto";"Assunto"
1989004,00;14/2/1989 00:00:00;"REQ";1,00;"MPV";"MPV0026/89";"MPV 26/89 - Projeto"
1989005,00;14/2/1989 00:00:00;"REQ";1,00;"MPV";"MPV0027/89";"MPV 27/89 - Projeto"
1989006,00;14/2/1989 00:00:00;"REJ";1,00;"MPV";"MPV0027/89";"MPV 27/89 - Votação de destaque para rejeição do inciso VII"
1989007,00;14/2/1989 00:00:00;"IND";1,00;"MPV";"MPV0035/89";"MPV 35/89 - Projeto"
1989009,00;14/2/1989 00:00:00;"IND";1,00;"MPV";"MPV0028/89";"MPV 28/89 - Projeto"
1989014,00;26/4/1989 00:00:00;"REJ";1,00;"PDC";"PDC0027/89";"PDC 27/89 - Projeto"
1989017,00;30/5/1989 00:00:00;"APR";2,00;"REQ";"REQ0242/89";"REQ 242/89 - Votação de requerimento de inversão de pauta para que as matérias sejam apreciadas na seguinte ordem: itens 1, 18 a 34 com exeção do item 32"
1989018,00;30/5/1989 00:00:00;"APR";2,00;"MPV";"MPV0045/89";"MPV 53/89 - Votação de requerimento de encerramento da sessão"
1989020,00;31/5/1989 00:00:00;"APR";1,00;"PDN";"PDN0002/88";"PDN 02/88 - Projeto"
1989021,00;31/5/1989 00:00:00;"APR";1,00;"PDN";"PDN0004/89";"PDN 04/89 - Projeto"
1989023,00;6/6/1989 00:00:00;"APR";2,00;"MPV";"MPV0049/89";"MPV 58/89 - Votação de admissibilidade do projeto"
1989024,00;15/6/1989 00:00:00;"APR";2,00;"PL.";"PL.2114/89";"PL. 2114/89 - Votação de requerimento de preferência para votação do substitutivo da CDCMA"
1989026,00;20/6/1989 00:00:00;"APR";2,00;"MPV";"MPV0056/89";"PLV 06/89 - Votação de requerimento de encerramento da sessão"
1989028,00;22/6/1989 00:00:00;"APR";1,00;"MPV";"MPV0050/89";"PLV 08/89 - Projeto"
1989029,00;27/6/1989 00:00:00;"APR";1,00;"PL.";"PL.2277/89";"PL. 2277/89 - Votação expressão 'Empresa Brasileira de Capital Nacional' pela rejeitção."
1989030,00;29/6/1989 00:00:00;"REJ";1,00;"MPV";"MPV0063/89";"PLV 10/89 - Votação de emenda"
1989031,00;9/8/1989 00:00:00;"APR";1,00;"PRC";"PRC0054/89";"PRC 54/89 - Votação do art. 1º e seus paragrafos 1º e 2º"
1989033,00;15/8/1989 00:00:00;"APR";1,00;"PLN";"PLN0006/89";"MSG 78/89 - Projeto"
1989035,00;22/8/1989 00:00:00;"APR";1,00;"PRC";"PRC0054/89";"PRC 54/89 - Votação de requerimento para aglutinação de emendas e destaques"
1989036,00;29/8/1989 00:00:00;"REJ";1,00;"PRC";"PRC0054/89";"PRC 54/89 - Votação de subemenda do Dep. Adolfo Oliveira"
1989039,00;13/9/1989 00:00:00;"APR";1,00;"PL.";"PL.3121/89";"PL. 3121/89 - Votação de subemenda substitutiva"
1989041,00;19/9/1989 00:00:00;"APR";1,00;"PL.";"PL.1710/89";"PL. 1710/89 - Votação do destaque nº 7 para rejeição da expressão 'orgãos e entidades públicas'"
1989044,00;25/10/1989 00:00:00;"APR";1,00;"PL.";"PL.3362/89";"PL. 3362/89 - Votação de destaque para a rejeição do parágrafo 2º"
1989045,00;29/11/1989 00:00:00;"REG";1,00;"PDC";"PDC0115/89";"PDC 115/89 - Projeto"
1989048,00;5/12/1989 00:00:00;"REG";1,00;"PDC";"PDC0116/89";"PDC 116/89 - Projeto"
1989050,00;7/12/1989 00:00:00;"APR";2,00;"MPV";"MPV0160/90";"PLV 37/89 - Votação de requerimento de preferência"
1990001,00;14/3/1990 00:00:00;"APR";1,00;"PLP";"PLP0149/89";"PLP 149/89 - Votação de emenda"
1990002,00;3/4/1990 00:00:00;"APR";2,00;"MPV";"MPV0148/90";"PLV 13/90 - Votação de requerimento de preferência"
1990003,00;4/4/1990 00:00:00;"APR";1,00;"MPV";"MPV0159/90";"PLV 15/90 - Projeto"
1990004,00;5/4/1990 00:00:00;"APR";2,00;"MPV";"MPV0150/90";"MPV 150/90 e 151/90 - Votação de requerimento de adiamento"
1990005,00;6/4/1990 00:00:00;"IND";2,00;"MPV";"MPV0150/90";"PLV 23/90 - Votação de requerimento de inversão de pauta"
1990006,00;6/4/1990 00:00:00;"APR";1,00;"MPV";"MPV0161/90";"PLV 20/90 - Votação de destaque"
1990007,00;7/4/1990 00:00:00;"REQ";1,00;"MPV";"MPV0150/90";"PLV 23/90 - Votação de emenda nº 108"
1990009,00;8/4/1990 00:00:00;"APR";1,00;"MPV";"MPV0151/90";"PLV 21/90 - Projeto"
1990010,00;8/4/1990 00:00:00;"REJ";1,00;"MPV";"MPV0151/90";"PLV 21/90 - Votação de emenda nº 444"
1990011,00;8/4/1990 00:00:00;"APR";1,00;"MPV";"MPV0151/90";"PLV 21/90 - Votação de emenda"
1990012,00;9/4/1990 00:00:00;"APR";1,00;"MPV";"MPV0154/90";"PLV 28/90 - Projeto"
1990013,00;9/4/1990 00:00:00;"REJ";1,00;"MPV";"MPV0154/90";"PLV 28/90 - Votação de emenda"
1990014,00;11/4/1990 00:00:00;"APR";1,00;"MPV";"MPV0150/90";"PLV 27/90 - Projeto"
1990015,00;11/4/1990 00:00:00;"REJ";1,00;"MPV";"MPV0150/90";"PLV 27/90 - Votação de emenda nº 28"
1990016,00;11/4/1990 00:00:00;"REQ";1,00;"MPV";"MPV0150/90";"PLV 27/90 - Votação de emenda nº 38"
1990017,00;11/4/1990 00:00:00;"REJ";1,00;"MPV";"MPV0157/90";"PLV 29/90 - Votação de emenda nº 15"
1990018,00;11/4/1990 00:00:00;"APR";1,00;"MPV";"MPV0168/90";"PLV 31/90 - Projeto"
1990019,00;11/4/1990 00:00:00;"REJ";1,00;"MPV";"MPV0168/90";"PLV 31/90 - Votação de emenda nº 87"
1990020,00;18/4/1990 00:00:00;"REJ";2,00;"MPV";"MPV0170/90";"MPV 170/90 - Votação de requerimento de preferência"
1990022,00;29/5/1990 00:00:00;"APR";1,00;"MPV";"MPV0176/90";"PLV 36/90 - Votação de dvs"
1990024,00;31/5/1990 00:00:00;"REJ";1,00;"MPV";"MPV0185/90";"MPV 185/90 - Projeto"
1990025,00;6/6/1990 00:00:00;"REJ";2,00;"MPV";"MPV0172/90";"PLV 37/90 - Votação de requerimento de preferência"
1990026,00;19/6/1990 00:00:00;"REJ";1,00;"PL.";"PL.4589/90";"PL. 4589/90 - Votação de emenda"
1990027,00;20/6/1990 00:00:00;"REG";2,00;"PL.";"PL.3683/89";"PL. 3683/89 - Votação de requerimento de urgência art. 155 RI"
1990030,00;28/6/1990 00:00:00;"REJ";1,00;"MPV";"MPV0188/90";"MPV 188/90 - Projeto"
1990031,00;21/8/1990 00:00:00;"REJ";2,00;"PL.";"PL.0602/83";"PL. 602/83 - Votação de requerimento adiamento da discussão"
1990033,00;16/10/1990 00:00:00;"APR";1,00;"PLN";"PLN0015/90";"MSG 109/90 - Substitutivo"
1990039,00;10/1/1991 00:00:00;"REQ";1,00;"MPV";"MPV0289/90";"PLV 02/91 - Projeto"
1990040,00;23/1/1991 00:00:00;"REQ";1,00;"MPV";"MPV0291/91";"PLV 04/91 - Projeto"
1990041,00;23/1/1991 00:00:00;"REJ";1,00;"MPV";"MPV0291/91";"PLV 04/91 - Votação dos destaques 38 a 40"
1990042,00;25/1/1991 00:00:00;"APR";1,00;"PL.";"PL.6134/91";"PL. 6134/91 - Substitutivo"
