"Id_Votacao";"Data";"Resultado";"TipoVotacao";"Projeto";"SiglaProjeto";"Assunto"
2007001,00;6/2/2007 00:00:00;"REJ";1,00;"MPV";"MPV0328/06";"MPV Nº 328/2006 - EMENDA Nº 1 DO SF COM PARECER PELA REJEIÇÃO"
2007002,00;12/2/2007 00:00:00;"IND";2,00;"PL.";"PL.7569/06";"PL Nº 7569/2006 - REQUERIMENTO DE ADIAMENTO DA DISCUSSÃO POR DUAS SES"
2007003,00;12/2/2007 00:00:00;"APR";1,00;"PL.";"PL.7569/06";"PL Nº 7569/2007 - DVS PFL - ARTIGO 3º DO SUBSTITUTIVO"
2007005,00;13/2/2007 00:00:00;"REJ";1,00;"PL.";"PL.6272/05";"PL Nº 6272/2005 - DVS PR /BLOCO PMDB/PT/PP/PR/PTB/PSC/PTC/PTdoB - EM"
2007006,00;13/2/2007 00:00:00;"REJ";1,00;"PL.";"PL.6272/05";"PL Nº 6272/2005 - DVS BLOCO PMDB/PT/PP/PR/PTB/PSC/PTC/PTdoB- § 2º DA"
2007007,00;14/2/2007 00:00:00;"APR";2,00;"MPV";"MPV0332/06";"MPV Nº 332/2006 - PARECER DO RELATOR PELA ADMISSIBILIDADE"
2007009,00;15/2/2007 00:00:00;"REG";2,00;"PL.";"PL.0084/07";"PL Nº 84/2007 - REQUERIMENTO DE URGÊNCIA"
2007010,00;15/2/2007 00:00:00;"APR";1,00;"PL.";"PL.0084/07";"PL Nº 84/2007 - PROJETO DE LEI"
2007011,00;26/2/2007 00:00:00;"APR";2,00;"MPV";"MPV0336/06";"MPV Nº 336/2006 - PARECER DO RELATOR PELA ADMISSIBILIDADE"
2007012,00;27/2/2007 00:00:00;"APR";1,00;"MPV";"MPV0344/07";"MPV Nº 344/2007 - DVS PSDB ANEXO MEC"
2007013,00;28/2/2007 00:00:00;"APR";2,00;"MPV";"MPV0338/06";"MPV Nº 338/2006 - PARECER DO RELATOR PELA ADMISSIBILIDADE"
2007014,00;28/2/2007 00:00:00;"APR";2,00;"MPV";"MPV0354/07";"MPV Nº 354/2007 - PARECER DO RELATOR PELA ADMISSIBILIDADE"
2007015,00;5/3/2007 00:00:00;"REJ";2,00;"MPV";"MPV0345/07";"MPV Nº 345/2007 - REQUERIMENTO DE RETIRADA DE PAUTA"
2007018,00;8/3/2007 00:00:00;;2,00;"RCP";"REC";"REQUERIMENTO - CPI TRÁFEGO AÉREO - CONCESSÃO DO EFEITO SUSPENSIVO"
2007019,00;13/3/2007 00:00:00;"APR";2,00;"MPV";"MPV0335/06";"MPV Nº 335/2006 - REQUERIMENTO DE INVERSÃO DE PAUTA"
2007022,00;14/3/2007 00:00:00;"APR";2,00;"PL.";"PL.4125/04";"PL Nº 4125/2004 - REQUERIMENTO DE ENCERRAMENTO DA DISCUSSÃO E DO ENCA"
2007024,00;15/3/2007 00:00:00;"APR";1,00;"PL.";"PL.4125/04";"PL Nº 4125/2004 - SUBSTITUTIVO"
2007027,00;21/3/2007 00:00:00;"REJ";2,00;"REC";"REC0014/07";"REC Nº 14/2007 - RECURSO EFEITO SUSPENSIVO - QUESTÃO DE ORDEM"
2007028,00;21/3/2007 00:00:00;;2,00;"REC";"REC0014/07";"REC Nº 14/2007 - SOBRE QUESTÃO DE ORDEM DO DEP. LUIZ SÉRGIO - PT/RJ"
2007029,00;26/3/2007 00:00:00;"APR";2,00;"MPV";"MPV0346/07";"MPV Nº 346/2007 - PARECER DO RELATOR PELA ADMISSIBILIDADE"
2007030,00;27/3/2007 00:00:00;"APR";2,00;"MPV";"MPV0335/06";"MPV Nº 335/2006 - REQUERIMENTO DE INVERSÃO DE PAUTA"
2007031,00;2/4/2007 00:00:00;"APR";2,00;"MPV";"MPV0339/06";"MPV Nº 339/2006 - REQUERIMENTO DE PREFERÊNCIA PARA MPV Nº 341/2006, MP"
2007033,00;3/4/2007 00:00:00;"REJ";2,00;"MPV";"MPV0341/06";"MPV Nº 341/2006 - REQUERIMENTO DE PRAZO PARA O PLV"
2007035,00;3/4/2007 00:00:00;"APR";1,00;"MPV";"MPV0341/06";"MPV Nº 341/2006 - DVS PDT - EMENDA Nº 55"
2007040,00;10/4/2007 00:00:00;"APR";2,00;"MPV";"MPV0339/06";"MPV Nº 339/2006 - PARECER DO RELATOR PELA INCONSTITUCIONALIDADE DAS EMENDAS"
2007041,00;10/4/2007 00:00:00;;1,00;"MPV";"MPV0339/06";"MPV Nº 339/2006 - DVS - EMENDA Nº 189"
2007042,00;10/4/2007 00:00:00;;1,00;"MPV";"MPV0339/06";"MPV Nº 339/2006 - DVS - EMENDA Nº 187"
2007047,00;11/4/2007 00:00:00;;1,00;"MPV";"MPV0348/07";"MPV Nº 348/2007 - DVS EMENDA Nº 9"
2007048,00;12/4/2007 00:00:00;;1,00;"MPV";"MPV0347/07";"MPV Nº 347/2007 - DVS PT - ARTIGO 4º"
2007049,00;17/4/2007 00:00:00;"APR";2,00;"MPV";"MPV0340/06";"MPV Nº 340/2006 - REQUERIMENTO DE RETIRADA DE PAUTA"
2007051,00;17/4/2007 00:00:00;;1,00;"MPV";"MPV0349/07";"MPV Nº 349/2007 - PROJETO DE LEI DE CONVERSÃO"
2007052,00;17/4/2007 00:00:00;"REJ";1,00;"MPV";"MPV0349/07";"MPV Nº 349/2007 - DVS - EMENDA 8"
2007053,00;18/4/2007 00:00:00;"APR";2,00;"MPV";"MPV0351/07";"MPV Nº 351/2007 - REQUERIMENTO DE PREFERÊNCIA PARA MPV Nº 352/2007..."
2007056,00;24/4/2007 00:00:00;"REJ";2,00;"MPV";"MPV0340/06";"MPV Nº 340/2006 - REQUERIMENTO DE RETIRADA DE PAUTA"
2007059,00;2/5/2007 00:00:00;"APR";1,00;"MPV";"MPV0357/07";"MPV Nº 357/2007 - MEDIDA PROVISÓRIA"
2007061,00;8/5/2007 00:00:00;"APR";1,00;"MPV";"MPV0359/07";"MPV Nº 359/2007 - DVS - EMENDA 3 - DEM"
2007062,00;9/5/2007 00:00:00;"REG";2,00;"PDC";"PDC0035/07";"PDC Nº 35/2007 - REQUERIMENTO DE URGÊNCIA"
2007063,00;9/5/2007 00:00:00;"REG";2,00;"PDC";"PDC0036/07";"PDC Nº 36/2007 - REQUERIMENTO DE URGÊNCIA"
2007064,00;9/5/2007 00:00:00;;2,00;"PL.";"PL.0696/07";"PL Nº 696/2007 - REQUERIMENTO DE PREFERÊNCIA"
