"Id_Votacao";"Nome_Dep";"Sigla_Partido";"Voto";"VotoLider";"VotoGov"
1991063,00;"ADAO PRETTO";"PT";"S";"O";"N"
1991063,00;"ADAUTO PEREIRA";"PFL";"F";"N";"N"
1991063,00;"ADROALDO STRECK";"PSDB";"N";"N";"N"
1991063,00;"ADYLSON MOTTA";"PDS";"N";"N";"N"
1991063,00;"AECIO NEVES";"PSDB";"N";"N";"N"
1991063,00;"ALBERTO GOLDMAN";"PMDB";"N";"N";"N"
1991063,00;"ALCESTE ALMEIDA";"PTB";"F";"N";"N"
1991063,00;"ALCIDES MODESTO";"PT";"S";"O";"N"
1991063,00;"ALDO REBELO";"PCdoB";"F";;"N"
1991063,00;"ALVARO VALLE";"PL";"N";"N";"N"
1991063,00;"ANTONIO DOS SANTOS";"PFL";"N";"N";"N"
1991063,00;"ANTONIO GERALDO";"PRN";"N";"N";"N"
1991063,00;"ANTONIO UENO";"PFL";"F";"N";"N"
1991063,00;"ARACELY DE PAULA";"PFL";"F";"N";"N"
1991063,00;"ARIOSTO HOLANDA";"PSB";"S";"S";"N"
1991063,00;"ARMANDO COSTA";"PMDB";"N";"N";"N"
1991063,00;"ARNALDO FARIA DE SA";"PRN";"F";"N";"N"
1991063,00;"AROLDE DE OLIVEIRA";"PFL";"N";"N";"N"
1991063,00;"AROLDO CEDRAZ";"PRN";"N";"N";"N"
1991063,00;"ARY KARA";"PMDB";"F";"N";"N"
1991063,00;"ATILA LINS";"PFL";"F";"N";"N"
1991063,00;"AUGUSTINHO FREITAS";"PTB";"F";"N";"N"
1991063,00;"AUGUSTO CARVALHO";"PCB";"S";;"N"
1991063,00;"AUGUSTO FARIAS";"PSC";"N";"N";"N"
1991063,00;"B. SA";"S/PART";"F";;"N"
1991063,00;"BASILIO VILLANI";"PRN";"N";"N";"N"
1991063,00;"BENEDITO DOMINGOS";"PTR";"N";;"N"
1991063,00;"BENITO GAMA";"PFL";"F";"N";"N"
1991063,00;"BETO MANSUR";"PDT";"S";"S";"N"
1991063,00;"CARLOS CAMURCA";"PTR";"F";;"N"
1991063,00;"CARLOS CARDINAL";"PDT";"F";"S";"N"
1991063,00;"CARLOS SANTANA";"PT";"S";"O";"N"
1991063,00;"CELIA MENDES";"PDS";"F";"N";"N"
1991063,00;"CESAR BANDEIRA";"PFL";"F";"N";"N"
1991063,00;"CHICO VIGILANTE";"PT";"F";"O";"N"
1991063,00;"CIDINHA CAMPOS";"PDT";"S";"S";"N"
1991063,00;"CIRO NOGUEIRA";"PFL";"F";"N";"N"
1991063,00;"CLEONANCIO FONSECA";"PRN";"N";"N";"N"
1991063,00;"COSTA FERREIRA";"PFL";"N";"N";"N"
1991063,00;"CUNHA BUENO";"PDS";"F";"N";"N"
1991063,00;"DELFIM NETTO";"PDS";"N";"N";"N"
1991063,00;"EDSON SILVA";"PDT";"F";"S";"N"
1991063,00;"EDUARDO JORGE";"PT";"S";"O";"N"
1991063,00;"EDUARDO MASCARENHAS";"PDT";"S";"S";"N"
1991063,00;"EFRAIM MORAIS";"PFL";"N";"N";"N"
1991063,00;"ELIAS MURAD";"PSDB";"N";"N";"N"
