Id_Votacao;Data;Resultado;TipoVotacao;Projeto;SiglaProjeto;Assunto
2013126;15/10/2013 00:00;;2;PL.;PL.6397/13;PL N∫ 6397/2013 - REQUERIMENTO DE ADIAMENTO DA DISCUSS√O POR 2 SESS’ES
2013127;16/10/2013 00:00;;1;PL.;PL.6397/13;PL N∫ 6397/2013 - SUBSTITUTIVO DA CCJC
2013128;16/10/2013 00:00;;1;PL.;PL.6397/13;PL N∫ 6397/2013 - DVS - PSB - EMENDA N∫ 19
2013130;22/10/2013 00:00;;1;PL.;PL.6397/13;PL N∫ 6397/2013 - DVS - PT - ß 2∫ DO ART. 37
2013131;22/10/2013 00:00;;1;PL.;PL.6397/13;"PL N∫ 6397/2013 - DVS - DEM - EXPR. OU RIDICULARIZAR"", INC. IV DO ART. 51 DO SUBSTITUTIVO"""
2013133;23/10/2013 00:00;;1;PLP;PLP0238/13;PLP N∫ 238/2013 - SUBEMENDA SUBSTITUTIVA GLOBAL DE PLEN¡ÅRIO
2013134;23/10/2013 00:00;;1;PLP;PLP0238/13;PLP N∫ 238/2013 - DVS - DEM - EMENDA AGLUTINATIVA N∫ 2
2013135;23/10/2013 00:00;;1;PLP;PLP0238/13;PLP N∫ 238/2013 - DVS - PSDB - EMENDA AGLUTINATIVA N∫ 1
2013136;23/10/2013 00:00;;1;PLP;PLP0238/13;PLP N∫ 238/2013 - DVS - PSD - EMENDA N∫ 14
2013137;23/10/2013 00:00;;1;PLP;PLP0238/13;PLP N∫ 238/2013 - DVS - PSB - EMENDA N∫ 16
2013138;23/10/2013 00:00;;;REQ;REQ8144/13;REQ N∫ 8144/2013 - REQUERIMENTO DE URG NCIA PARA APRECIA«√O DO PL N∫ 7.495/2006
2013143;06/11/2013 00:00;;;REQ;REQ8970/13;REQ N∫ 8970/2013 - URG NCIA PARA APRECIA«√O DO PDC N∫ 1361/2013 DO SF
