"Id_Votacao";"Data";"Resultado";"TipoVotacao";"Projeto";"SiglaProjeto";"Assunto"
2003002,00;26/2/2003 00:00:00;"APR";2,00;"MPV";"MPV0080/02";"MPV Nº 80/2002 - REQUERIMENTO DE ADIAMENTO DA VOTAÇÃO"
2003003,00;12/3/2003 00:00:00;"REJ";2,00;"MPV";"MPV0079/02";"MPV Nº 79/2002 - REQUERIMENTO DE RETIRADA DE PAUTA"
2003004,00;18/3/2003 00:00:00;"APR";1,00;"MPV";"MPV0079/02";"MPV Nº 79/2002 - DVS - PTB §2º ART. 4º"
2003005,00;19/3/2003 00:00:00;"REJ";2,00;"PL.";"PL.2681/96";"PL Nº 2.681/1996 - REQUERIMENTO DE RETIRADA DE PAUTA"
2003006,00;26/3/2003 00:00:00;"REJ";2,00;"MPV";"MPV0082/02";"MPV Nº 82/2002 - REQUERIMENTO DE RETIRADA DE PAUTA"
2003010,00;8/4/2003 00:00:00;"REJ";2,00;"MPV";"MPV0106/03";"MPV Nº 106/2003 - REQUERIMENTO DE RETIRADA DE PAUTA"
2003011,00;15/4/2003 00:00:00;"APR";1,00;"MPV";"MPV0103/03";"MPV Nº 103/2003 - DVS PT - ART. 6º PARA SUBSTITUIR ART. 6º DO PLV"
2003012,00;22/4/2003 00:00:00;"REJ";1,00;"MPV";"MPV0094/02";"MPV Nº 94/2002 - DVS PT - SUPRESSÃO DO ART. 3º DO PLC"
2003014,00;23/4/2003 00:00:00;"APR";1,00;"MPV";"MPV0104/03";"MPV Nº 104/2003 - MEDIDA PROVISÓRIA"
2003015,00;29/4/2003 00:00:00;"REJ";2,00;"MPV";"MPV0107/03";"MPV Nº 107/2003 - REQUERIMENTO DE RETIRADA DE PAUTA"
2003016,00;29/4/2003 00:00:00;"APR";1,00;"MPV";"MPV0107/03";"MPV Nº 107/2003 - PROJETO DE LEI DE CONVERSÃO"
2003018,00;6/5/2003 00:00:00;"APR";1,00;"MPV";"MPV0107/03";"MPV Nº 107/2003 - DVS Nº 1 PFL - EXPRESSÃO ""EM ATÉ 180 PRESTAÇÕES MEN"
2003019,00;6/5/2003 00:00:00;"APR";1,00;"MPV";"MPV0107/03";"MPV Nº 107/2003 - DVS Nº 8 PFL - SUPRESSÃO DO ART. Nº 22 DO PLV"
2003020,00;6/5/2003 00:00:00;"APR";1,00;"MPV";"MPV0107/03";"MPV Nº 107/2003 - DVS Nº 9 PFL - ARTIGO 2º DA LEI Nº 10.034/2000 ("
2003024,00;27/5/2003 00:00:00;"REJ";1,00;"MPV";"MPV0107/03";"MPV Nº 107/2003 - DVS EMENDA Nº 11"
2003025,00;28/5/2003 00:00:00;"NAA";1,00;"MPV";"MPV0116/03";"MPV Nº 116/2003 - DVS - EMENDA Nº 2"
2003027,00;29/5/2003 00:00:00;"REJ";1,00;"MPV";"MPV0117/03";"MPV Nº 117/2003 - DVS EMENDA Nº 2***********************"
2003028,00;3/6/2003 00:00:00;"REJ";2,00;"MPV";"MPV0118/03";"MPV Nº 118/2003 - REQUERIMENTO DE PREFERÊNCIA PARA MEDIDA PROVISÓRIA"
2003029,00;4/6/2003 00:00:00;"APR";2,00;"PEC";"PEC0175/95";"MENSAGEM 199/03 - PODER EXECUTIVO RELATIVO A PEC N 175/95"
2003031,00;10/6/2003 00:00:00;"REJ";2,00;"PL.";"PL.1083/03";"PL Nº 1.083/2003 - RECURSO CONTRA O PARECER DA COMISSÃO DE JUSTIÇA"
2003033,00;11/6/2003 00:00:00;"REJ";1,00;"PL.";"PL.1084/03";"PL Nº 1.084/2003 - EMENDA DE PLENÁRIO Nº 4*******************"
2003037,00;25/6/2003 00:00:00;"APR";1,00;"PL.";"PL.3731/97";"PL Nº 3.731/1997 - SUBSTITUTIVO"
2003040,00;29/7/2003 00:00:00;"APR";1,00;"MPV";"MPV0120/03";"MPV Nº 120/2003 - MEDIDA PROVISÓRIA"
2003047,00;5/8/2003 00:00:00;"REJ";2,00;"PEC";"PEC0040/03";"PEC Nº 40/2003 - REQUERIMENTO DE RETIRADA DA PAUTA"
2003048,00;5/8/2003 00:00:00;"APR";2,00;"PEC";"PEC0040/03";"PEC Nº 40/2003 - REQUERIMENTO DE ENCERRAMENTO DA DISCUSSÃO"
2003049,00;5/8/2003 00:00:00;"REJ";2,00;"PEC";"PEC0040/03";"PEC Nº 40/2003 - REQUERIMENTO VOTAÇÃO POR PARTES (artigo por artigo)"
2003050,00;6/8/2003 00:00:00;"REG";1,00;"PEC";"PEC0040/03";"PEC Nº 40/2003 - EMENDA AGLUTINATIVA SUBSTITUTIVA GLOBAL Nº 4"
2003051,00;6/8/2003 00:00:00;"APR";2,00;"PEC";"PEC0040/03";"PEC Nº 40/2003 - REQUERIMENTO DE VOTAÇÃO EM GLOBO - DESTAQUES"
2003052,00;6/8/2003 00:00:00;"APR";2,00;"PEC";"PEC0040/03";"PEC Nº 40/2003 - REQUERIMENTO DE INVERSÃO DA PAUTA"
2003053,00;6/8/2003 00:00:00;"REG";1,00;"PEC";"PEC0040/03";"PEC Nº 40/2003 - EMENDA AGLUTINATIVA Nº 1***************"
2003054,00;6/8/2003 00:00:00;"REG";1,00;"PEC";"PEC0040/03";"PEC Nº 40/2003 - EMENDA AGLUTINATIVA Nº 3*****************"
2003056,00;7/8/2003 00:00:00;"REG";1,00;"PEC";"PEC0040/03";"PEC Nº 40/2003 - DVS Nº 7 ART. 40, CAPUT E § 18 DA CF, DO ART. 1º E"
2003059,00;12/8/2003 00:00:00;"REJ";2,00;"MPV";"MPV0121/03";"MPV Nº 121/2003 - REQUERIMENTO DE RETIRADA DA PAUTA"
2003060,00;12/8/2003 00:00:00;"APR";2,00;"MPV";"MPV0121/03";"MPV Nº 121/2003 - REQUERIMENTO DE ENCERRAMENTO DA DISCUSSÃO"
2003062,00;12/8/2003 00:00:00;"APR";1,00;"MPV";"MPV0121/03";"MPV Nº 121/2003 - DVS PFL - EXPRESSÃO ""E DE OUTRAS EMPRESAS PRIVADAS"""
2003063,00;12/8/2003 00:00:00;"REJ";2,00;"MPV";"MPV0122/03";"MPV Nº 122/2003 - REQUERIMENTO DE PRAZO PARECER"
2003064,00;13/8/2003 00:00:00;"REJ";2,00;"PEC";"PEC0040/03";"PEC Nº 40/2003 - REQUERIMENTO DE RETIRADA DE PAUTA"
2003066,00;13/8/2003 00:00:00;"REG";1,00;"PEC";"PEC0040/03";"PEC Nº 40/2003 - DVS Nº 3 - EXPRESSÃO ""OU DE QUALQUER NATUREZA""**************************"
2003067,00;13/8/2003 00:00:00;"REG";1,00;"PEC";"PEC0040/03";"PEC Nº 40/2003 - DVS Nº 9 - § 7º DO ART. 40"
2003069,00;19/8/2003 00:00:00;"REJ";2,00;"PL.";"PL.4572/98";"PL Nº 4.572/1998 - REQUERIMENTO DE RETIRADA DE PAUTA"
2003073,00;27/8/2003 00:00:00;"APR";2,00;"PEC";"PEC0040/03";"PEC Nº 40/2003 - REQUERIMENTO DE ENCERRAMENTO DA DISCUSSÃO"
2003074,00;27/8/2003 00:00:00;"REJ";2,00;"PEC";"PEC0040/03";"PEC Nº 40/2003 - REQUERIMENTO DE RETIRADA DA PAUTA"
2003075,00;27/8/2003 00:00:00;"REG";1,00;"PEC";"PEC0040/03";"PEC Nº 40/2003 - SEGUNDO TURNO"
2003078,00;2/9/2003 00:00:00;"APR";2,00;"PEC";"PEC0041/03";"PEC Nº 41/2003 - REQUERIMENTO DE ENCERRAMENTO DA DISCUSSÃO"
2003080,00;4/9/2003 00:00:00;"REG";1,00;"PEC";"PEC0041/03";"PEC Nº 41/2003 - EMENDA AGLUTINATIVA SUBSTITUTIVA GLOBAL Nº 27"
2003083,00;10/9/2003 00:00:00;"REG";1,00;"PEC";"PEC0041/03";"PEC Nº 41/2003 - DEST. SIMPLES EM GLOBO EXCETO REF. EMEND.101,169,20"
2003084,00;10/9/2003 00:00:00;"REG";1,00;"PEC";"PEC0041/03";"PEC Nº 41/2003 - DVS PFL - § 2º ART. 155 E ART. 90**********************"
2003086,00;10/9/2003 00:00:00;"REG";1,00;"PEC";"PEC0041/03";"PEC Nº 41/2003 - EMENDA AGLUTINATIVA Nº 49"
2003087,00;10/9/2003 00:00:00;"APR";2,00;"PEC";"PEC0041/03";"PEC Nº 41/2003 - REQUERIMENTO DE PREFERÊNCIA PARA DVS NºS 7,6,1,2,4,8"
2003088,00;10/9/2003 00:00:00;"REG";1,00;"PEC";"PEC0041/03";"PEC Nº 41/2003 - DVS Nº 7 PSDB - ARTIGO 91 - ADCT"
2003090,00;15/9/2003 00:00:00;"APR";2,00;"MPV";"MPV0125/03";"MPV Nº 125/2003 - REQUERIMENTO DO ENCERRAMENTO DA DISCUSSÃO E ENCAMIN"
2003091,00;15/9/2003 00:00:00;"REJ";1,00;"MPV";"MPV0125/03";"MPV Nº 125/2003 - DVS PFL - EMENDA Nº 6"
2003092,00;16/9/2003 00:00:00;"REJ";1,00;"MPV";"MPV0125/03";"MPV Nº 125/2003 - DVS PFL - EMENDA Nº 33**********************"
2003095,00;16/9/2003 00:00:00;"REJ";1,00;"MPV";"MPV0126/03";"MPV Nº 126/2003 - DVS - PFL - EMENDA Nº 2**********************"
2003098,00;16/9/2003 00:00:00;"REG";1,00;"PEC";"PEC0041/03";"PEC Nº 41/2003 - DVS Nº 6 PRONA - ART 76 DO ADCT*****************"
2003099,00;16/9/2003 00:00:00;"REG";1,00;"PEC";"PEC0041/03";"PEC Nº 41/2003 - DVS Nº 1 PSDB - INCISO II DO § 2º DO ART. 149 DA CF*****************"
2003100,00;16/9/2003 00:00:00;"REG";1,00;"PEC";"PEC0041/03";"PEC Nº 41/2003 - DVS Nº 2 PFL - § 1º DO ART. 155 DA CF (ART 1º DA EME"
2003101,00;16/9/2003 00:00:00;"REG";1,00;"PEC";"PEC0041/03";"PEC Nº 41/2003 - DVS Nº 4 PFL - INCISO IV DO ART. 195 DA CF (ART 1º D"
2003102,00;16/9/2003 00:00:00;"REG";1,00;"PEC";"PEC0041/03";"PEC Nº 41/2003 - DVS Nº 5 PSDB - § 5º DO ART. 239 DA CF (ART 1º DA EM********************"
2003103,00;17/9/2003 00:00:00;"REG";1,00;"PEC";"PEC0041/03";"PEC Nº 41/2003 - EMENDA AGLUTINATIVA Nº 61"
2003104,00;17/9/2003 00:00:00;"REG";1,00;"PEC";"PEC0041/03";"PEC Nº 41/2003 - EMENDA AGLUTINATIVA Nº 69"
2003105,00;17/9/2003 00:00:00;"REG";1,00;"PEC";"PEC0041/03";"PEC Nº 41/2003 - EMENDA AGLUTINATIVA Nº 72"
2003106,00;17/9/2003 00:00:00;"REG";1,00;"PEC";"PEC0041/03";"PEC Nº 41/2003 - EMENDA AGLUTINATIVA Nº 60"
2003107,00;17/9/2003 00:00:00;"REG";1,00;"PEC";"PEC0041/03";"PEC Nº 41/2003 - EMENDA AGLUTINATIVA Nº 71*************"
2003108,00;17/9/2003 00:00:00;"REG";1,00;"PEC";"PEC0041/03";"PEC Nº 41/2003 - EMENDA AGLUTINATIVA Nº 64"
2003109,00;17/9/2003 00:00:00;"REG";1,00;"PEC";"PEC0041/03";"PEC Nº 41/2003 - EMENDA AGLUTINATIVA Nº 68"
2003110,00;24/9/2003 00:00:00;"REJ";2,00;"PEC";"PEC0041/03";"PEC Nº 41/2003 - REQUERIMENTO DE RETIRADA DE PAUTA"
2003111,00;24/9/2003 00:00:00;"APR";2,00;"PEC";"PEC0041/03";"PEC Nº 41/2003 - REQUERIMENTO DE ENCERRAMENTO DA DISCUSSÃO"
2003112,00;24/9/2003 00:00:00;"REJ";1,00;"PEC";"PEC0041/03";"PEC Nº 41/2003 - VOTAÇÃO ARTIGO POR ARTIGO"
2003113,00;24/9/2003 00:00:00;"REJ";2,00;"PEC";"PEC0041/03";"PEC Nº 41/2003 - REQUERIMENTO DE RETIRADA DE PAUTA"
2003114,00;24/9/2003 00:00:00;"REG";1,00;"PEC";"PEC0041/03";"PEC Nº 41/2003 - SEGUNDO TURNO"
2003115,00;24/9/2003 00:00:00;"REG";1,00;"PEC";"PEC0041/03";"PEC Nº 41/2003 - DVS Nº 1 PFL - ART. Nº 155, INCISO III"
